This Hallowed Ground: The story of the Union Side of the Civil War,078581552X,9780785815525,4.34
Memory and Power in Post-War Europe: Studies in the Presence of the Past,052100070X,9780521000703,3.43
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe Chapter Book Box Set",006117453X,9780061174537,4.18
"The Chronicles of Narnia - The Lion, the Witch and the Wardrobe (Movie tie-in)",0439847974,9780439847971,4.18
The Chronicles Of Narnia Boxed Set,0439859611,9780439859615,4.24
The Worldly Philosophers (Business Library),0140290060,9780140290066,4.09
The Worldly Philosophers,0671201514,9780671201517,4.09
The Worldly Philosophers The Great Economic Thinkers,0713901225,9780713901221,4.09
The Chronicles of Narnia Pop-up: Based on the Books by C. S. Lewis,0061176125,9780061176128,4.41
The Chronicles Of Narnia,0007194218,9780007194216,4.24
"Best Science Fiction Stories of the Year, 1989",1556561474,9781556561474,3.50
More of the Best of Science Fiction & Fantasy,0787107697,9780787107697,3.52
Guide to the World's Religions: New Edition of a Classic Work,0133711536,9780133711530,0.00
The Mythmaker: Paul and the Invention of Christianity,0062505858,9780062505859,3.89
History of Civilization: The Northern European Renaissance (The Northern Italian Renaissance),1558635246,9781558635241,0.00
The Web Empowerment Book: An Introduction and Connection Guide to the Internet and the World-Wide Web,0387944311,9780387944319,0.00
The Boleyn Inheritance,1428116125,9781428116122,3.83
Tao Te Ching,0872202321,9780872202320,4.31
"On Art, Religion and the History of Philosophy: Introductory Lectures",0872203700,9780872203709,4.00
Hurricane,0553130552,9780553130553,3.80
"Iron Sunrise (Eschaton, #2)",1841493368,9781841493367,3.96
"Women, Girls and Psychotherapy: Reframing Resistance (Women & Therapy)",1560230126,9781560230120,3.76
Contacting Aliens: An Illustrated Guide to David Brin's Uplift Universe (The Uplift Saga),0553377965,9780553377965,3.61
Yanked! (David Brin's Out of Time),0380799685,9780380799688,3.00
Tomorrow Happens,1886778434,9781886778436,3.86
A Place of Greater Safety,0312426399,9780312426392,3.95
Beyond Black,0312426054,9780312426057,3.38
Eight Months on Ghazzah Street,0007172915,9780007172917,3.64
"The Tripods Trilogy (The Tripods, #1-3)",0020425716,9780020425717,4.16
"The White Mountains (The Tripods, #1)",081242669X,9780812426694,3.93
Spin Doctor,074513808X,9780745138084,4.00
Juha,0973716541,9780973716542,3.23
Jealousy,0714503118,9780714503110,3.65
The Voyeur,0802131654,9780802131652,3.78
Musashi,4770019572,9784770019578,4.42
Musashi: The Way of the Samurai,0671734830,9780671734831,4.38
Musashi: The Art of War,0552133868,9780552133869,4.50
Musashi: The Way of the Sword,0552133876,9780552133876,4.31
Musashi: The Way of Life and Death,0552133892,9780552133890,4.47
Musashi: The Bushido Code,0671729918,9780671729912,4.41
Rogue Male,075285139X,9780752851396,3.96
I Am Legend,1600100864,9781600100864,3.99
Finn,1400065917,9781400065912,3.71
The End of the Story,1597800287,9781597800280,4.19
The Door to Saturn,1597800295,9781597800297,4.37
The Emperor of Dreams,057507373X,9780575073739,4.11
Out Of Space And Time,0803293526,9780803293526,4.31
A Rendezvous in Averoigne,0870541560,9780870541568,4.22
The Prophets,1565634500,9781565634503,4.37
Prophetic Inspiration after the Prophets,0881253464,9780881253467,3.75
The Dying Earth,0447745476,9780447745474,3.93
Lost Echoes,0307275442,9780307275448,3.77
The Bottoms,0446677922,9780446677929,4.15
"Savage Season (Hap and Leonard, #1)",0753814382,9780753814383,3.85
Gangland,1563896087,9781563896088,3.45
"The Two-Bear Mambo (Hap and Leonard, #3)",0575400374,9780575400375,4.13
The Life of Moses,0809121123,9780809121120,4.19
Grandma Moses,0060130903,9780060130909,3.62
"Bad Chili (Hap and Leonard, #4)",2070498549,9782070498543,4.04
Flaming London,1596060255,9781596060258,3.60
"Gallows View (Inspector Banks, #1)",0380714000,9780380714001,3.78
Drawing Blood,0385308957,9780385308953,4.02
Liquor,1400050073,9781400050079,3.93
"Gallows View (Inspector Banks, #1)",0684192667,9780684192666,3.78
"Gallows View (Inspector Banks, #1)",0140096639,9780140096637,3.78
"Gallows View (Inspector Banks, #1)",1405051086,9781405051088,3.78
America's Longest War: The United States and Vietnam 1950-1975 (Second Edition),0394341856,9780394341859,3.79
The Longest War: Northern Ireland's Troubled History,0192802925,9780192802927,3.47
"A Dedicated Man  (Inspector Banks, #2)",0330491601,9780330491600,3.77
"The Colour Out of Darkness (Cemetery Dance Novella Series, #17)",1587671131,9781587671135,2.89
"A Necessary End (Inspector Banks, #3)",0330491636,9780330491631,3.87
The Hanging Valley / Past Reason Hated / Wednesday's Child (Inspector Banks #4-6),0143014986,9780143014980,3.93
Gideon's Spies: The Secret History of the Mossad (Updated),0312339135,9780312339135,3.92
"Past Reason Hated (Inspector Banks, #5)",0330491628,9780330491624,3.94
"Innocent Graves (Inspector Banks, #8)",0380820439,9780380820436,3.91
The House on Garibaldi Street: The First Full Account of the Capture of Adolf Eichmann,0670380288,9780670380282,4.16
"Cold Is The Grave (Inspector Banks, #11)",0670893013,9780670893010,4.02
"Cold Is The Grave (Inspector Banks, #11)",0613626052,9780613626057,4.02
Fritz Leiber's Fafhrd and the Gray Mouser,1593077130,9781593077136,4.10
Lankhmar: Tales of Fafhrd and the Gray Mouser (Vol. 1),1565048741,9781565048744,4.00
"Swords Against Wizardry (Fafhrd and the Gray Mouser, #4)",0441791948,9780441791941,4.10
"Swords Against Death (Fafhrd and the Gray Mouser, #2)",0743458281,9780743458283,4.06
The Three of Swords (Fafhrd and the Gray Mouser #1-3),0739430165,9780739430163,3.94
Swords in the Mist,0441791840,9780441791842,4.06
The Swords of Lankhmar,0441792235,9780441792238,4.08
"Swords in the Mist (Fafhrd and the Gray Mouser, #3)",1596872721,9781596872721,4.06
Fritz and the Beautiful Horses,0590233963,9780590233965,4.26
"Will You Sign Here, John Hancock?",069811440X,9780698114401,3.85
Traitor: the Case of Benedict Arnold,0698115538,9780698115538,3.25
"Ill Met in Lankhmar (Fafhrd and the Gray Mouser, #1-2)",1565048946,9781565048942,4.15
Our Lady Of Darkness,0441644171,9780441644179,3.75
"Strange Affair (Inspector Banks, #15)",0060544341,9780060544348,3.94
Dark Ladies: Conjure Wife/Our Lady of Darkness,031286972X,9780312869724,4.03
The Second Book of Lankhmar,0575073586,9780575073586,4.01
Richard Thompson: Strange Affair,0863699936,9780863699931,3.59
"Strange Affair (Inspector Banks, #15)",0060763337,9780060763336,3.94
The Leiber Chronicles: Fifty Years Of Fritz Leiber,0913165484,9780913165485,4.15
The First Book of Lankhmar,1857983270,9781857983272,4.11
The Worlds of Fritz Leiber,0441916406,9780441916405,3.91
"The Elric Saga Part II (Elric Saga, #4-6)",1568650418,9781568650418,4.17
Why Didn't They Ask Evans?,0312981597,9780312981594,3.83
The Big Four,1572704322,9781572704329,3.61
Irish Confederates: The Civil War's Forgotten Soldiers,1893114538,9781893114531,0.00
"Postern of Fate (Tommy and Tuppence, #5)",0007111487,9780007111480,3.26
"N or M? (Tommy and Tuppence, #3)",0007111452,9780007111459,3.73
The Complete Tommy And Tuppence,000712077X,9780007120772,4.38
Wild Worlds,1401213790,9781401213794,3.03
"Swamp Thing, Vol. 1: Saga of the Swamp Thing",0930289226,9780930289225,4.20
The Extraordinary Works of Alan Moore,1893905241,9781893905245,3.99
Armor,0886773687,9780886773687,4.11
